freq,unit,geo\TIME_PERIOD	1978 	1979 	1980 	1981 	1982 	1983 	1984 	1985 	1986 	1987 	1988 	1989 	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
A,P_GERD,CH	: 	: 	: 	597.1 	: 	549.69 	: 	: 	361.89 	: 	: 	385.43 	: 	: 	346.42 	: 	: 	: 	296.28 	: 	: 	: 	397.78 	: 	: 	: 	362.49 	: 	: 	: 	308.5 	: 	: 	: 	211.1 	: 	: 	: 	: 	: 
A,P_GERD,CN_X_HK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.29 	35.03 	50.2 	51.96 	69.62 	62.83 	68.57 	60.53 	65.6 	54.39 	48.17 	47.37 	46.13 e	: 	: 	: 	: 
A,P_GERD,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	236.91 	261.51 	: 	: 	: 	: 	: 	107.49 	191.55 	252.9 	537.65 	204.79 	122.76 	128.25 	303.98 	101.5 	146.79 	153.34 	183.52 	88.98 	63.34 	30 	94.72 e	97.1 e	: 	: 	: 
A,P_GERD,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	57.38 	62.47 	44.69 	67.24 	81.41 	101.3 	93.04 	89.48 	85.74 	94.99 	109.53 	102 	84 	100.17 	105.09 	104.86 	91.52 	91.92 	87.32 	80.62 	83.62 e	87.33 e	: 	: 	: 
A,P_GERD,DE	: 	: 	: 	434.87 	390.19 	418.12 	430.45 	412.94 	388.64 	399.39 	413.18 	392.88 	350.98 	311.58 	304.93 	300.07 	314.86 	308.2 	369.05 	410.26 	441.47 	435.54 	436.9 	421.88 	409.96 	407.34 	420.88 	431.75 	410.85 	396.81 	348.3 	349.77 	335.16 	304.15 	277.21 	268.75 e	250.46 e	: 	: 	: 
A,P_GERD,DK	: 	: 	: 	283.06 	238.33 	250.17 	258.77 	242.7 	200.45 	189.66 	223.56 	216.7 	200.03 	201.14 	205.91 	208.21 	: 	198.33 	234.28 	220.92 	252.47 	245.52 	252.74 	217.14 	208.49 	229.9 	227.42 	234.32 	210.36 	223.29 	195 	170.12 	181.78 	200.92 	173.68 	173.89 e	173.47 e	: 	: 	: 
A,P_GERD,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	337.16 	321.8 	309.44 	310.09 	317.05 	316.01 	302.05 	284.41 	258.51 	254.8 	245.28 	235 	223.43 	219.21 e	213.71 e	: 	: 	: 
A,P_GERD,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	182.66 	198.86 	123.68 	187.92 	102.34 	170.5 	103.02 	61.24 	140.54 	162.51 	169.54 	227.72 	167.25 	72.57 	62.2 	85.6 e	84.77 e	: 	: 	: 
A,P_GERD,EL	: 	: 	: 	122.69 	: 	: 	: 	: 	106.97 	: 	119.23 	101.76 	: 	89.25 	: 	44.57 	: 	63.96 	: 	95.64 	: 	65.04 	: 	83.5 	: 	87.09 	64.89 	95.85 	86.6 	77.35 	58.75 	62.22 	48.43 	61.28 	75.93 	71.37 e	79.38 e	: 	: 	: 
A,P_GERD,ES	: 	: 	: 	69.91 	73.04 	122.77 	81.94 	103.77 	100.66 	107.18 	98.19 	94.3 	76.77 	85.86 	71.17 	97.86 	113.26 	106.27 	108.84 	144.3 	133.35 	146.92 	140.43 	141.01 	129.99 	117.23 	136.09 	133.73 	114.4 	104.05 	98.19 	105.12 	103.59 	104.36 	113.34 	116.27 e	118.93 e	: 	: 	: 
A,P_GERD,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	302.32 	286.85 	275.91 	280.57 	285.48 	283.03 	269.99 	255.15 	237.76 	239.3 	229.9 	221.09 	210.12 	206.72 e	200.53 e	: 	: 	: 
A,P_GERD,FI	: 	: 	: 	173.08 	: 	170.1 	169.21 	158.87 	177.93 	210.84 	203.53 	204.96 	209.29 	205.35 	290.47 	371.19 	354.89 	317.61 	336.64 	347.87 	354.23 	369.03 	324.52 	305.63 	267.82 	258.94 	268.36 	245.5 	234.54 	204.55 	184.28 	193.94 	199.68 	188.06 	239.74 	261.09 e	286.06 e	: 	: 	: 
A,P_GERD,FR	: 	: 	: 	267.69 	250.26 	250.26 	233.89 	234.67 	230.02 	248.93 	257.48 	245.32 	215.84 	210.48 	187.18 	182.7 	187.29 	187.36 	200.15 	227.12 	240.83 	244.2 	236.29 	222.08 	215.79 	230.2 	233.94 	231.6 	224.48 	219.95 	212.77 	202.24 	195.31 	197.82 	191.22 	188.98 e	189.86 e	: 	: 	: 
A,P_GERD,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	136.1 	138.87 	92.97 	106.86 	119.39 	89.68 	67.87 	57.82 	90.47 	50.45 	58.73 	52.16 e	42.84 e	: 	: 	: 
A,P_GERD,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	256.29 	249.2 	220.88 	279.4 	292.96 	260.1 	155.62 	142.56 	223.49 	278.36 	251.38 	199.52 	364.99 	299.75 	182.96 	170.67 	192.24 	212.71 	161.93 	183.2 	195.51 	171.09 	172.78 	173.59 	183.94 	165.26 	152.35 e	155.58 e	: 	: 	: 
A,P_GERD,IE	: 	: 	: 	143.37 	162.53 	182.11 	210.82 	187.62 	208.51 	267.32 	194.75 	230.43 	203.55 	177.84 	172.27 	139.71 	140.75 	152.47 	145.05 	143.49 	191.6 	217.83 	175.45 	196.06 	156.96 	139.03 	148.45 	135.38 	131.55 	135.44 	126.02 	126.6 	121.41 	139.5 	114.57 	119.41 e	115.21 e	: 	: 	: 
A,P_GERD,IS	: 	: 	: 	100.29 	: 	63.3 	96.1 	135.36 	115.94 	34.99 	: 	78.82 	140.76 	161.99 	77.34 	87.65 	127.12 	135.95 	: 	133.03 	161.39 	191.07 	149.26 	81.27 	143.56 	112.59 	: 	91.29 	75.72 	61.86 	91.61 	105.47 	: 	86.41 	: 	131.05 e	131.05 e	: 	: 	: 
A,P_GERD,IT	: 	: 	: 	252.02 	226.27 	234.05 	230.7 	230.87 	234.79 	247.1 	235.55 	234.07 	200.68 	200.27 	192.78 	237.03 	256.79 	295.5 	295.53 	291.23 	293.58 	324.09 	321.54 	293.78 	289.68 	297.66 	301.34 	314.86 	301.15 	270.27 	250.25 	230.65 	229.34 	222.84 	211.37 	204.99 e	203.89 e	: 	: 	: 
A,P_GERD,JP	: 	: 	: 	155.06 	159.12 	154.87 	151.02 	134.81 	134.43 	162.55 	159.16 	167.44 	182.55 	141.78 	129.41 	106.51 	98.36 	107.64 	140.35 	143.03 	158.32 	153.58 	143.65 	143.01 	159.99 	185.27 	198.11 	181.94 	185.37 	194.51 	170.32 	163.44 	162.37 	151.57 	136.12 	167.25 e	: 	: 	: 	: 
A,P_GERD,KR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	128.41 	112.35 	95.76 	117.44 	160.28 	237.07 	288.52 	274.37 	229.51 	191.92 	187.53 	228.43 	188.63 	165.73 	152.66 	151.2 e	: 	: 	: 	: 
A,P_GERD,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	136.58 	46.21 	27.77 	12.29 	58.06 	64.2 	34.53 	26.7 	152.38 	81.23 	56.06 	50.76 	42.13 	65.44 	37.19 	72.41 	66.68 	109.13 	122.25 e	132.2 e	: 	: 	: 
A,P_GERD,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	221.08 	: 	: 	204.72 	256.89 	208.5 	189.96 	124.71 	151.21 	120.32 	127.07 	110.55 	120.07 	107.31 e	99.48 e	: 	: 	: 
A,P_GERD,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	55.57 	: 	: 	: 	175.64 	192.34 	68.56 	239.25 	135.93 	164.46 	188.46 	210.25 	245.14 	146.27 	124.77 	160.89 	219.83 	145.24 	127.05 	185.1 	480.59 e	517.81 e	: 	: 	: 
A,P_GERD,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	337.24 	283.77 	249.52 	413.41 	219.18 	216.28 	168.27 	245.58 	82.93 	6.91 	89.07 	75.81 e	79.14 e	: 	: 	: 
A,P_GERD,NL	: 	: 	: 	329.79 	334.21 	333.83 	353.89 	331.42 	316.98 	337.51 	364.09 	376.81 	315.93 	295.7 	298.31 	276.45 	264.71 	279.04 	325.73 	354.73 	380.25 	387.22 	428.99 	453.56 	406.75 	382.84 	387.42 	359.92 	368.14 	323.75 	329.15 	331.86 	280.92 	281.94 	270.88 	264.29 e	265.44 e	: 	: 	: 
A,P_GERD,NO	: 	: 	: 	107.24 	97.62 	76.23 	110.83 	99.14 	: 	84.46 	: 	116.62 	: 	107.45 	: 	100.79 	: 	124.43 	: 	138.43 	: 	155.81 	: 	117.86 	117.01 	103.43 	120.85 	135.52 	121.89 	105.52 	92.47 	124.58 	98.41 	84.04 	81.39 	76.63 e	75.96 e	: 	: 	: 
A,P_GERD,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	37 	45.75 	22.39 	71.03 	59.04 	42.01 	29.04 	30.28 	21.63 	34.18 	31.41 	27.76 	33.38 	35.99 	44.27 	71.36 	105.82 	109.34 	92.33 	92.76 	114.41 	106.52 	139.14 	138.58 	135.67 	140.91 	159.24 e	157.65 e	: 	: 	: 
A,P_GERD,PT	: 	: 	: 	: 	38.16 	22.12 	45.22 	47.63 	46.86 	75.33 	47.76 	26.45 	26.98 	25.41 	22.93 	40.98 	31.06 	29.77 	35.54 	39.1 	38.82 	45.65 	45.31 	40.88 	38.41 	65.44 	52.69 	102.28 	67.08 	62.77 	45.29 	33.27 	34.48 	47.16 	48.35 	52.62 e	56.86 e	: 	: 	: 
A,P_GERD,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	32.06 	6.59 	24.67 	40.93 	34.59 	14.45 	44.44 	28.48 	57.39 	40.35 	58.65 	61.79 	80.17 	98.63 	87.73 	45.44 	49.89 	41.35 	56 	60.44 	91.91 	111.16 	152.57 e	177.22 e	: 	: 	: 
A,P_GERD,RU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	119.81 	77.43 	60.95 	41.11 	46.49 	44.53 	46.55 	32.13 	24.17 	21.09 	23.43 	25.78 	24.59 	20.08 	21.65 e	24.01 e	: 	: 	: 
A,P_GERD,SE	: 	: 	: 	294.07 	: 	319.34 	: 	251.68 	: 	217.64 	: 	185.14 	: 	165.03 	: 	210.48 	: 	240.75 	: 	266.82 	: 	254.45 	: 	205.33 	: 	193.89 	215.35 	230.44 	225.09 	245.42 	226.39 	245.81 	237.29 	215.11 	222.13 	224.83 e	248.29 e	: 	: 	: 
A,P_GERD,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	121.49 	94.46 	98.68 	85.52 	86.7 	151.14 	110.54 	165.2 	149.46 	231.21 	224.2 	294.85 	262.59 	207.56 	239.98 	225.16 	187.63 	142.45 	125.4 	136.51 	136.77 e	151.75 e	: 	: 	: 
A,P_GERD,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	59.91 	50.05 	54.91 	62.5 	72.41 	122.55 	78.61 	82.29 	173.19 	185.63 	118.43 	161.03 	186.37 	154.22 	120.9 	95.25 	111.68 	117.05 	76.09 	81.44 e	75.91 e	: 	: 	: 
A,P_GERD,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.78 	6.64 	0.8 	5.64 	8.88 	9.42 	22.93 	19.62 	34.71 	20.08 	32.35 	42.51 	51.59 	64.35 	72.61 	72.21 	77.59 	70.55 	71.23 	91.91 	104.61 	81.75 	79.53 	82.84 e	: 	: 	: 	: 
A,P_GERD,UK	: 	: 	: 	223.27 	: 	252.89 	: 	237.58 	273.87 	270.57 	265.22 	234.62 	212.09 	199.62 	204.58 	206.35 	207.97 	225.44 	239.47 	216.83 	227.48 	225.54 	209.26 	193.33 	184.56 	197.34 	188.55 	178.89 	170.63 	154.16 	167.43 	187.66 	174.19 	172.27 	161.81 	157.93 e	140.25 e	: 	: 	: 
A,P_GERD,US	: 	: 	: 	115.25 	109.93 	100.63 	81.72 	77.02 	99.33 	123.38 	133.36 	127.26 	145.02 	132.66 	138.52 	129.76 	137.16 	155.57 	149.78 	139.65 	141.77 	134.66 	110 	101.44 	112.59 	131.98 	146.68 	142.73 	125.35 	117.45 	112.22 	104.38 	98.61 	105.31 	96.5 	: 	: 	: 	: 	: 
A,P_MACT,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	176.65 	174.27 	199.23 	252.7 	248.92 	278.32 	306.58 	308.45 	332.81 	349.91 	372.64 	383.77 	433.5 	417.57 	390.32 	406.95 	419.53 	423.98 	433.93 	441.29 e	450.08 e	: 	: 	: 
A,P_MACT,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	167.92 	195.85 	187.27 	194.28 	214.56 	273.62 	270.64 	307.13 	298.75 	279.89 	303.33 	307.53 	336.34 	328.41 	331.83 	330.63 	314.16 	295.44 	309.54 	312.3 	307.94 	310.52 e	310.7 e	: 	: 	: 
A,P_MACT,BG	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.21 	4.74 	4.36 	6.47 	5.3 	7.03 	7.94 	3.48 	5.24 	4.53 	4.98 	7.9 	10.11 	11.81 e	14.09 e	: 	: 	: 
A,P_MACT,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.95 	45.89 	21.05 	14.68 	16.86 	45.69 	16.91 	26.26 	28.33 	37.66 	18.19 	13.03 	5.72 	18.3 e	18.58 e	: 	: 	: 
A,P_MACT,CZ	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	12.46 	11.54 	12.96 	13.98 	17.85 	21.75 	21.93 	20.79 	29.41 	36.41 	40.06 	33.32 	36.55 	42.66 	44.13 	47.22 e	50.95 e	: 	: 	: 
A,P_MACT,DE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	292.43 	299.1 	317.94 	334.08 	398.5 	447.4 	498.06 	529.39 	558.76 	553.57 	551.54 	559.09 	578.83 	588.86 	585.06 	588.41 	557.59 	563.88 	564.12 	557.55 	530.35 	513.68 e	494.62 e	: 	: 	: 
A,P_MACT,DK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	137.36 	152.24 	174.19 	180.62 	223.59 	227.49 	284.94 	306.34 	346.87 	324.03 	338.48 	390 	384.3 	412.71 	390.55 	449.77 	442.27 	407.83 	440.92 	501.51 	453.38 	469.52 e	474.67 e	: 	: 	: 
A,P_MACT,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	241.07 	262.33 	282.5 	295.05 	294.23 	291.59 	295.13 	307.65 	312.35 	314.42 	310.55 	299.32 	298.28 	296.08 	299.27 	291.65 	289.4 e	287.29 e	: 	: 	: 
A,P_MACT,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	259.16 	279.14 	291.66 	290.94 	288.4 	292.02 	304.49 	309.23 	311.41 	307.61 	296.57 	295.46 	293.35 	296.59 	289.17 	287 e	284.94 e	: 	: 	: 
A,P_MACT,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.84 	11.12 	6.68 	13.53 	8.58 	16.95 	12.72 	9.51 	30.64 	40.95 	50.84 	65.42 	57.11 	40.53 	34.65 	41.04 e	35.93 e	: 	: 	: 
A,P_MACT,EL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.96 	4.08 	7.34 	6.63 	8.64 	12.06 	13.26 	11.29 	12.24 	15.16 	16.22 	17.69 	13.5 	22.4 	21.28 	20.83 	18.83 	18.34 	13.02 	17.27 	20.77 	21.6 e	24.45 e	: 	: 	: 
A,P_MACT,ES	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	18.8 	23.56 	24.94 	24.39 	27.03 	35.75 	37.63 	43.17 	45.63 	48.64 	49.32 	48.77 	59.75 	64.5 	62.06 	61.9 	62.58 	65.9 	64.68 	63.17 	64.74 	65.24 e	65.93 e	: 	: 	: 
A,P_MACT,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	227.56 	232.13 	241.05 	245.6 	248.04 	246.8 	238.08 	236.42 	236.71 	240.01 	235.49 	234.83 e	234.02 e	: 	: 	: 
A,P_MACT,FI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	207.57 	238.31 	277.3 	288.72 	343.84 	410.54 	470.06 	559.47 	554.24 	541.96 	495.73 	498.52 	543.62 	512.74 	510.29 	477.38 	468.47 	491.46 	521.04 	502.23 	608.88 	652.09 e	695.21 e	: 	: 	: 
A,P_MACT,FR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	190.65 	196.13 	204.04 	208.48 	226.75 	251.1 	270.42 	283.95 	285.29 	282.33 	285.31 	294.26 	306.22 	305.52 	307.93 	310.35 	311.53 	306.14 	298.83 	313.95 	310.46 	311.8 e	316.84 e	: 	: 	: 
A,P_MACT,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.49 	22.6 	17.62 	18.41 	19.72 	16.22 	14.92 	11.37 	15.85 	9.02 	10.4 	10.05 e	7.69 e	: 	: 	: 
A,P_MACT,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.18 	18.54 	14.15 	27.74 	29.74 	24.48 	29.38 	32.02 	36.95 	32.26 	38.86 	45.35 	43.41 	44.27 	46.52 	52.44 	48.32 	49.74 e	50.02 e	: 	: 	: 
A,P_MACT,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	54.16 	50.26 	57.83 	68.02 	73.44 	83.6 	113.33 	135.8 	116.71 	138.59 	121.18 	119.94 	139.89 	134.58 	136.24 	146.51 	144.38 	155.36 	148.33 	171.71 	145.4 	152.14 e	153.35 e	: 	: 	: 
A,P_MACT,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	192.14 	200.06 	202.38 	174.7 	138.08 	136.79 	143.97 	101.06 	127.23 	155.38 	155.11 e	171.87 e	: 	: 	: 
A,P_MACT,IT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	99.54 	102.96 	109.45 	127.06 	138.02 	144.79 	160.4 	170.58 	168.33 	177.05 	182.38 	189.1 	202.25 	207.64 	202.14 	192 	180.07 	183.09 	179.02 	171.58 	170.29 e	165.97 e	: 	: 	: 
A,P_MACT,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.39 	1.75 	2.79 	1.92 	1.64 	10.3 	6.98 	5.62 	6.38 	6.46 	11.13 	5.44 	10.47 	12.72 	22.11 	27.73 e	33.11 e	: 	: 	: 
A,P_MACT,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	142.93 	204.03 	124.1 	172.13 	242.56 	293.43 	421.04 	344.81 	433.23 	385.93 	314.43 	447.94 	580.57 	484.54 	522.66 	348.68 	439.5 	326.04 	331.65 	295.39 	270.94 	256.21 e	233.74 e	: 	: 	: 
A,P_MACT,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.07 	1.51 	8.15 	4.63 	6.26 	6.53 	8.99 	16.49 	14.82 	13.92 	19.92 	16.94 	14.94 	17.39 	26.31 	66.24 e	84.95 e	: 	: 	: 
A,P_MACT,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	29.24 	34.43 	25.06 	20.27 	37.59 	70.14 	42.18 	41.12 	32.62 	45.56 	20.05 	1.85 	30.25 	25.96 e	27.7 e	: 	: 	: 
A,P_MACT,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	207.5 	207.67 	210.82 	235.73 	279.42 	308.43 	327.78 	368.48 	425.1 	472.03 	420.11 	411.22 	427.97 	409 	431.53 	379.69 	387.93 	384.76 	347.49 	395.34 	382.52 	377.07 e	390.15 e	: 	: 	: 
A,P_MACT,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	172.64 	152.58 	167.78 	149.18 	167.84 	208.75 	200.43 	193.81 	176.69 	231.61 	202.69 	186.87 	195.84 	184.74 e	179.56 e	: 	: 	: 
A,P_MACT,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.66 	1.66 	2.08 	2.49 	3.37 	4.86 	6.48 	7.32 	7.47 	8.3 	12 	13.78 	16.93 	21.1 	22.34 	27.87 	31.52 e	34.95 e	: 	: 	: 
A,P_MACT,PT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.15 	3.73 	2.78 	2.8 	3.73 	4.42 	5.21 	7.16 	7.95 	7.89 	7.23 	12.15 	10.68 	22.27 	19.16 	22.16 	20.94 	16.64 	17.15 	22.3 	20.84 	22.49 e	24.26 e	: 	: 	: 
A,P_MACT,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.69 	0.45 	0.67 	0.52 	0.91 	1.09 	1.64 	2.34 	2.92 	2.02 	3.26 	3.37 	3.15 	3.7 	6.58 	7.76 	9.25 e	11.03 e	: 	: 	: 
A,P_MACT,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	234.6 	254.66 	303.98 	341.87 	407.62 	465.78 	471.88 	497.2 	515.13 	468.99 	449.11 	445.06 	484.27 	518.62 	553.64 	588.78 	569.21 	535.03 	569.21 	564.22 	609.81 	633.16 e	652.02 e	: 	: 	: 
A,P_MACT,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.64 	20.72 	40.35 	32.92 	50.88 	52.24 	85.84 	76.4 	111.14 	106.77 	98.26 	116.06 	133.34 	118.32 	102.03 	110 	125.03 	126.92 e	133.09 e	: 	: 	: 
A,P_MACT,SK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.48 	6.06 	4.35 	4.68 	9.85 	11.99 	7.78 	11.85 	15.2 	14.67 	13.72 	10.74 	17.2 	20.47 	16.45 	18.32 e	18.68 e	: 	: 	: 
A,P_MACT,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.42 	10.55 	10.97 	14.11 	19.17 	14.76 	16.62 	17.31 e	16.8 e	: 	: 	: 
A,P_MACT,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	120.51 	122.9 	129.37 	134.23 	147.46 	159.51 	179.56 	197.92 	210.34 	195.5 	192.54 	192.11 	188.98 	188.4 	189.29 	182.33 	172.38 	173.35 	169.49 	170.68 	167.72 	165.76 e	164.68 e	: 	: 	: 
A,P_MHAB,AT	: 	35.12 	34.92 	40.65 	49.31 	52.33 	67.4 	76.04 	70.02 	80.33 	85.72 	87.61 	83.9 	84.94 	78.85 	83.11 	85.21 	84.48 	95.69 	121.35 	119.71 	134.33 	147.86 	149.9 	160.12 	171.88 	178.02 	185.8 	212.05 	207.89 	195.74 	205.31 	212 	214.96 	221.57 	226.4 e	230.54 e	233.15 be	232.76 e	231.35 e
A,P_MHAB,AU	: 	11.52 	16.29 	18.31 	18.73 	24.19 	27 	30.13 	24.8 	22.17 	20.79 	21.31 	21.42 	22.96 	22.1 	24.58 	25.37 	28.09 	25.63 	34.91 	37.32 	51.5 	54.02 	50.89 	53.81 	55.02 	57.99 	57 	50.07 	45.26 	43.3 	42.24 	37.31 	39.01 	37.67 	36.16 e	35.79 e	: 	: 	: 
A,P_MHAB,BE	: 	25.18 	25.45 	25.31 	31.92 	33.35 	41.7 	39.85 	46.78 	50.4 	51.95 	57.83 	51.43 	58.95 	67.59 	79.46 	76.9 	80.19 	88.53 	113.36 	113.24 	131.63 	128.23 	118.39 	129.47 	131.63 	146.16 	145.43 	146.71 	147.85 	140.75 	131.88 	139.77 	137.86 	135.8 	137.63 e	137.73 e	139.69 be	140.49 e	145.83 e
A,P_MHAB,BG	: 	: 	: 	: 	1.35 	1.79 	2.16 	2.27 	1.15 	2.34 	1.84 	1.27 	0.87 	0.37 	0.53 	1 	0.35 	0.97 	0.52 	0.93 	1.1 	0.97 	0.91 	1.96 	1.86 	2.73 	2.28 	3.03 	3.56 	1.61 	2.48 	2.12 	2.29 	3.58 	4.62 	5.47 e	6.55 e	4.43 be	4.34 e	4.13 e
A,P_MHAB,BR	: 	0.12 	0.09 	0.16 	0.13 	0.12 	0.13 	0.24 	0.08 	0.13 	0.14 	0.13 	0.28 	0.21 	0.32 	0.32 	0.24 	0.36 	0.32 	0.53 	0.47 	0.74 	0.68 	0.81 	0.76 	0.99 	1.08 	1.13 	1.22 	1.44 	1.52 	1.35 	1.17 	1.29 	1.29 	: 	: 	: 	: 	: 
A,P_MHAB,CA	: 	5.94 	8.28 	9.74 	12.59 	14.02 	14.97 	16.23 	17.38 	20.99 	20.8 	21.97 	19.75 	19.42 	20.82 	23.1 	24.91 	28.55 	32.02 	41.42 	46.77 	53.73 	55.08 	56.73 	58.36 	61.68 	72.15 	77.19 	75.12 	71.61 	65.05 	67.98 	69 	64.76 	65.45 	: 	: 	: 	: 	: 
A,P_MHAB,CH	: 	141.22 	163.36 	182.07 	191.22 	213.35 	232.36 	230.95 	222.32 	259.63 	264.31 	268.13 	252.74 	234.64 	253.16 	242.3 	247.67 	240.56 	267.3 	303.88 	336.61 	350.55 	380.45 	390.9 	367.75 	382.2 	417.68 	434.34 	432.87 	436.09 	417.17 	408.86 	431.08 	417.98 	407.55 	407.12 e	398.67 e	: 	: 	: 
