indicatorId,geoUnit,year,type,subtype,value
ILLPOP.AG15T99,BGD,2014,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter for any communication in Bangla.
ILLPOP.AG15T99,BGD,2014,Source,Data sources,Source: Sample Vital Registration System (SVRS)
ILLPOP.AG15T99,BGD,2015,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter for any communication in Bangla.
ILLPOP.AG15T99,BGD,2015,Source,Data sources,Source: Sample Vital Registration System (SVRS)
ILLPOP.AG15T99,BGD,2016,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter for any communication in Bangla.
ILLPOP.AG15T99,BGD,2016,Source,Data sources,Source: Sample Vital Registration System (SVRS)
ILLPOP.AG15T99,BGD,2017,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter for any communication in Bangla.
ILLPOP.AG15T99,BGD,2017,Source,Data sources,Source: Sample Vital Registration System (SVRS)
ILLPOP.AG15T99,BGD,2018,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter for any communication in Bangla.
ILLPOP.AG15T99,BGD,2018,Source,Data sources,Source: Sample Vital Registration System (SVRS)
ILLPOP.AG15T99,BGD,2019,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter for any communication in Bangla.
ILLPOP.AG15T99,BGD,2019,Source,Data sources,Source: Sample Vital Registration System (SVRS)
ILLPOP.AG15T99,BGD,2020,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter for any communication in Bangla.
ILLPOP.AG15T99,BGD,2020,Source,Data sources,Source: Sample Vital Registration System (SVRS)
ILLPOP.AG15T99,BGD,2021,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter
ILLPOP.AG15T99,BGD,2021,Source,Data sources,Source: Sample Vital Registration System (SVRS) in digital platform
ILLPOP.AG15T99,BGD,2022,Data Status,Data reporting,Literacy definition: A literate is a person who can read and write a letter
ILLPOP.AG15T99,BGD,2022,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BGR,2001,Data Status,Data reporting,Literacy definition: Literate persons are those who can read and write.
ILLPOP.AG15T99,BGR,2001,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BGR,2011,Data Status,Data reporting,Literacy definition: Can you read and write?
ILLPOP.AG15T99,BGR,2011,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BGR,2021,Data Status,Data reporting,Literacy definition: 2011 population census:  Can you read and write?
ILLPOP.AG15T99,BGR,2021,Source,Data sources,Source: UIS estimates: GALP
ILLPOP.AG15T99,BHR,1991,Data Status,Data reporting,"Literacy definition: A person is defined as literate if they can both read and write a short, simple statement on his or her everyday life."
ILLPOP.AG15T99,BHR,1991,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BHR,2001,Data Status,Data reporting,"Literacy definition: Illiterate persons are those who cannot read and write, as well as persons who can read only, for example a person who studied the QurA'an."
ILLPOP.AG15T99,BHR,2001,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BHR,2011,Data Status,Data reporting,"Literacy definition: 2001 population census: Illiterate population: Persons who cannot read and write, as well as persons who can read only, for example a person who studied the Quran."
ILLPOP.AG15T99,BHR,2011,Source,Data sources,Source: UIS estimates: GALP
ILLPOP.AG15T99,BHR,2022,Data Status,Data reporting,Literacy definition: Can you read and write a simple sentence about your daily life with understanding?
ILLPOP.AG15T99,BHR,2022,Source,Data sources,Source: The survey data was used as a main source and validated by numerous documented administrative records from several sources
ILLPOP.AG15T99,BHR,2023,Data Status,Data reporting,Literacy definition: Can you read and write a simple sentence about your daily life with understanding?
ILLPOP.AG15T99,BHR,2023,Source,Data sources,Source: The survey data was used as a main source and validated by numerous documented administrative records from several sources
ILLPOP.AG15T99,BHR,2024,Data Status,Data reporting,Literacy definition: Can you read and write a simple sentence about your daily life with understanding?
ILLPOP.AG15T99,BHR,2024,Source,Data sources,Source: The survey data was used as a main source and validated by numerous documented administrative records from several sources
ILLPOP.AG15T99,BIH,1991,Data Status,Data reporting,"Literacy definition: A person is defined as literate if he or she can, with understanding, both read and write a short, simple statement on his or her everyday life"
ILLPOP.AG15T99,BIH,1991,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BIH,2000,Data Status,Data reporting,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper
ILLPOP.AG15T99,BIH,2000,Source,Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
ILLPOP.AG15T99,BIH,2011,Data Status,Data reporting,Literacy definition: UIS estimate based on 2011 MICS Survey data with assessment of reading skills of male and female population 15-49 years.  Literacy rates based on a reading assessment are likely to be lower than literacy rates based on self- or household declaration.
ILLPOP.AG15T99,BIH,2011,Source,Data sources,Source: UIS estimates: MICS/GALP
ILLPOP.AG15T99,BIH,2013,Data Status,Data reporting,Literacy definition: Literate persons are those aged 10 years or older who can read and write a short essay.
ILLPOP.AG15T99,BIH,2013,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BIH,2023,Data Status,Data reporting,Literacy definition: 2013 population census:  Person aged 10 years and more who can read and write short essay.
ILLPOP.AG15T99,BIH,2023,Source,Data sources,Source: UIS estimates: GALP
ILLPOP.AG15T99,BLR,1999,Data Status,Data reporting,Literacy definition: Persons aged 15 years and older who could neither read nor write were considered illiterate.
ILLPOP.AG15T99,BLR,1999,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BLR,2009,Data Status,Data reporting,Literacy definition: Question and Answer: I do not have education ----> Can you read and write? ---> Yes / No
ILLPOP.AG15T99,BLR,2009,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BLR,2019,Data Status,Data reporting,Literacy definition: Literate is a person who can read and write.
ILLPOP.AG15T99,BLR,2019,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BLZ,1991,Data Status,Data reporting,"Literacy definition: A person is defined as literate if they can both read and write a short, simple statement on his or her everyday life."
ILLPOP.AG15T99,BLZ,1991,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BLZ,2000,Data Status,Data reporting,"Literacy definition: individuals aged 15 years and older who have completed Standard 5 (Grade 7) or a higher level of education are classified as literate.  Note: While the census did not include direct questions assessing an individuals ability to read and write, individuals are generally considered capable of readins and writing based on their reported level of educational attainment."
ILLPOP.AG15T99,BLZ,2000,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BLZ,2022,Data Status,Data reporting,"Literacy definition: individuals aged 15 years and older who have completed Standard 5 (Grade 7) or a higher level of education are classified as literate.  Note: While the census did not include direct questions assessing an individuals ability to read and write, individuals are generally considered capable of readins and writing based on their reported level of educational attainment."
ILLPOP.AG15T99,BLZ,2022,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BOL,2001,Data Status,Data reporting,"Literacy definition: If the person responds that he/she knows how to read and to write, he/she is literate and if he/she does not know how to read and to write, he/she is illiterate. The language of the survey was Spanish and native languages in indigenous-speaking regions."
ILLPOP.AG15T99,BOL,2001,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BOL,2007,Data Status,Data reporting,Literacy definition: Literate persons are those aged 15 years or older who can read and write.
ILLPOP.AG15T99,BOL,2007,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BOL,2008,Data Status,Data reporting,Literacy definition: Literate persons are those aged 15 years or older who can read and write.
ILLPOP.AG15T99,BOL,2008,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BOL,2009,Data Status,Data reporting,Literacy definition: Literate persons are those aged 15 years or older who can read and write.
ILLPOP.AG15T99,BOL,2009,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BOL,2011,Data Status,Data reporting,Literacy definition: Literate persons are those aged 15 years or older who can read and write.
ILLPOP.AG15T99,BOL,2011,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BOL,2012,Data Status,Data reporting,Literacy definition: Literate persons are those aged 15 years or older who can read and write.
ILLPOP.AG15T99,BOL,2012,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BOL,2015,Data Status,Data reporting,Literacy definition: Literate persons are those aged 15 years or older who can read and write.
ILLPOP.AG15T99,BOL,2015,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BOL,2020,Data Status,Data reporting,Literacy definition: Literate persons are those aged 15 years or older who can read and write. Footnote: Data for some age groups have 20% statistical uncertainy
ILLPOP.AG15T99,BOL,2020,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BOL,2023,Data Status,Data reporting,Literacy definition: Literate persons are those aged 15 years or older who can read and write. Footnote: Data for some age groups have 20% statistical uncertainy
ILLPOP.AG15T99,BOL,2023,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BRA,2012,Data Status,Data reporting,Literacy definition: A literate person is regarded as someone who can read and write.
ILLPOP.AG15T99,BRA,2012,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BRA,2013,Data Status,Data reporting,Literacy definition: A literate person is regarded as someone who can read and write.
ILLPOP.AG15T99,BRA,2013,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BRA,2014,Data Status,Data reporting,Literacy definition: A literate person is regarded as someone who can read and write.
ILLPOP.AG15T99,BRA,2014,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BRA,2015,Data Status,Data reporting,Literacy definition: A literate person is regarded as someone who can read and write.
ILLPOP.AG15T99,BRA,2015,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BRA,2016,Data Status,Data reporting,Literacy definition: A literate person is regarded as someone who can read and write.
ILLPOP.AG15T99,BRA,2016,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BRA,2017,Data Status,Data reporting,Literacy definition: A literate person is regarded as someone who can read and write.
ILLPOP.AG15T99,BRA,2017,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BRA,2018,Data Status,Data reporting,Literacy definition: A literate person is regarded as someone who can read and write.
ILLPOP.AG15T99,BRA,2018,Source,Data sources,Source: Household Survey
ILLPOP.AG15T99,BRN,1991,Data Status,Data reporting,"Literacy definition: A person is defined as literate if they can both read and write a short, simple statement on his or her everyday life."
ILLPOP.AG15T99,BRN,1991,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BRN,2001,Data Status,Data reporting,Literacy definition: Literacy is defined as the ability to read and write a simple letter or to read a newspaper column in one or two languages.
ILLPOP.AG15T99,BRN,2001,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BRN,2011,Data Status,Data reporting,Literacy definition: Can you read and write with understanding (literate)?
ILLPOP.AG15T99,BRN,2011,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BRN,2021,Data Status,Data reporting,Literacy definition: 2011 population census:  Can you read and write with understanding (literate)?
ILLPOP.AG15T99,BRN,2021,Source,Data sources,Source: UIS estimates: GALP
ILLPOP.AG15T99,BTN,2005,Data Status,Data reporting,"Literacy definition: A person is defined as literate if they can both read and write a short, simple statement on his or her everyday life."
ILLPOP.AG15T99,BTN,2005,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BTN,2012,Data Status,Data reporting,"Literacy definition: Can [NAME] read and write a short text in Dzongkha, Lotsham, English or any Other Language? (1) Yes (2) No."
ILLPOP.AG15T99,BTN,2012,Source,Data sources,Source: Living Standards Measurement Survey
ILLPOP.AG15T99,BTN,2017,Data Status,Data reporting,Literacy definition: A literate person is regarded as someone who can read and write.
ILLPOP.AG15T99,BTN,2017,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BTN,2024,Data Status,Data reporting,Literacy definition: 2017 population census: A literate person is regarded as someone who can read and write.
ILLPOP.AG15T99,BTN,2024,Source,Data sources,Source: UIS estimates: GALP
ILLPOP.AG15T99,BWA,1991,Data Status,Data reporting,"Literacy definition: A person is defined as literate if they can both read and write a short, simple statement on his or her everyday life."
ILLPOP.AG15T99,BWA,1991,Source,Data sources,Source: Population Census
ILLPOP.AG15T99,BWA,2003,Data Status,Data reporting,"Literacy definition: Literacy is a responsive and context specific multi-dimensional lifelong learning process designed to equip beneficiaries with specialised knowledge, skills, attitudes and techniques to independently engage in practices and genres involving listening, speaking, reading, writing, numeracy, technical functioning and critical thinking required in real life."
ILLPOP.AG15T99,BWA,2003,Source,Data sources,Source: Literacy Survey
ILLPOP.AG15T99,BWA,2013,Data Status,Data reporting,"Literacy definition: 2003 literacy survey: Literacy is a responsive and context specific multi-dimensional lifelong learning process designed to equip beneficiaries with specialised knowledge, skills, attitudes and techniques to independently engage in practices and genres involving listening, speaking, reading, writing, numeracy, technical functioning and critical thinking required in real life."
ILLPOP.AG15T99,BWA,2013,Source,Data sources,Source: UIS estimates: GALP
ILLPOP.AG15T99,CAF,2000,Data Status,Data reporting,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.
ILLPOP.AG15T99,CAF,2000,Source,Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
ILLPOP.AG15T99,CAF,2010,Data Status,Data reporting,Literacy definition: UIS estimate based on 2010 Multiple Indicator Cluster Survey data with assessment of reading skills of male population 15-59 years and female population 15-49 years.  Literacy rates based on a reading assessment are likely to be lower than literacy rates based on self- or household declaration.
ILLPOP.AG15T99,CAF,2010,Source,Data sources,Source: UIS estimates: MICS/GALP
